0,1,2,3,4,5,6
0.65307,0.9135,0.99926,0.18748,0.14696,0.16105,-1
0.95969,2.0065,3.3661,0.27832,0.25881,0.18512,1
0.9135,0.99926,1.362,0.14696,0.16105,0.19826,-1
2.0065,3.3661,2.8797,0.25881,0.18512,0.18681,1
0.99926,1.362,1.5848,0.16105,0.19826,0.34915,-1
3.3661,2.8797,2.8833,0.18512,0.18681,0.24276,1
1.362,1.5848,1.4066,0.19826,0.34915,0.30785,-1
2.8797,2.8833,1.7312,0.18681,0.24276,0.24073,1
1.5848,1.4066,1.5855,0.34915,0.30785,0.37631,-1
2.8833,1.7312,0.96023,0.24276,0.24073,0.23341,1
1.4066,1.5855,1.6136,0.30785,0.37631,0.30175,-1
1.7312,0.96023,2.5968,0.24073,0.23341,0.25424,1
1.5855,1.6136,1.5779,0.37631,0.30175,0.28122,-1
0.96023,2.5968,1.3746,0.23341,0.25424,0.29148,1
1.6136,1.5779,1.8405,0.30175,0.28122,0.23753,-1
2.5968,1.3746,0.73455,0.25424,0.29148,0.29535,1
1.5779,1.8405,1.4832,0.28122,0.23753,0.22297,-1
1.3746,0.73455,1.7031,0.29148,0.29535,0.27876,1
1.8405,1.4832,1.0927,0.23753,0.22297,0.25747,-1
0.73455,1.7031,2.6156,0.29535,0.27876,0.27868,1
1.4832,1.0927,0.4942,0.22297,0.25747,0.23243,-1
1.7031,2.6156,2.2473,0.27876,0.27868,0.23125,1
1.0927,0.4942,0.28061,0.25747,0.23243,0.21187,-1
2.6156,2.2473,1.9192,0.27868,0.23125,0.28347,1
0.4942,0.28061,0.74338,0.23243,0.21187,0.23217,-1
2.2473,1.9192,1.7057,0.23125,0.28347,0.26126,1
0.28061,0.74338,1.0597,0.21187,0.23217,0.26124,-1
1.9192,1.7057,1.6075,0.28347,0.26126,0.26553,1
0.74338,1.0597,1.3143,0.23217,0.26124,0.19775,-1
1.7057,1.6075,0.9285,0.26126,0.26553,0.28409,1
1.0597,1.3143,1.4212,0.26124,0.19775,0.22781,-1
1.6075,0.9285,0.86225,0.26553,0.28409,0.27212,1
1.3143,1.4212,1.1914,0.19775,0.22781,0.2285,-1
0.9285,0.86225,1.4323,0.28409,0.27212,0.26832,1
1.4212,1.1914,1.0203,0.22781,0.2285,0.32095,-1
0.86225,1.4323,2.0474,0.27212,0.26832,0.31021,1
1.1914,1.0203,0.96252,0.2285,0.32095,0.26744,-1
1.4323,2.0474,1.7764,0.26832,0.31021,0.3092,1
1.0203,0.96252,0.80167,0.32095,0.26744,0.24803,-1
2.0474,1.7764,0.9149,0.31021,0.3092,0.27016,1
0.96252,0.80167,1.0931,0.26744,0.24803,0.22236,-1
1.7764,0.9149,1.0868,0.3092,0.27016,0.29483,1
0.80167,1.0931,2.07,0.24803,0.22236,0.37303,-1
0.9149,1.0868,1.6969,0.27016,0.29483,0.42635,1
1.0931,2.07,1.1162,0.22236,0.37303,0.31457,-1
1.0868,1.6969,2.2526,0.29483,0.42635,0.28417,1
2.07,1.1162,1.8005,0.37303,0.31457,0.29802,-1
1.6969,2.2526,2.7803,0.42635,0.28417,0.25563,1
1.1162,1.8005,2.5348,0.31457,0.29802,0.35091,1
2.2526,2.7803,2.0104,0.28417,0.25563,0.27147,-1
1.8005,2.5348,1.1205,0.29802,0.35091,0.38018,1
2.7803,2.0104,1.601,0.25563,0.27147,0.31333,-1
2.5348,1.1205,2.0362,0.35091,0.38018,0.28348,1
2.0104,1.601,0.95631,0.27147,0.31333,0.30181,-1
1.1205,2.0362,1.5154,0.38018,0.28348,0.31558,1
1.601,0.95631,1.1157,0.31333,0.30181,0.38025,-1
2.0362,1.5154,1.8611,0.28348,0.31558,0.25718,1
0.95631,1.1157,1.2936,0.30181,0.38025,0.3173,-1
1.5154,1.8611,1.3678,0.31558,0.25718,0.3498,1
1.1157,1.2936,1.0487,0.38025,0.3173,0.36833,-1
1.8611,1.3678,1.093,0.25718,0.3498,0.28722,1
1.2936,1.0487,0.93747,0.3173,0.36833,0.42658,-1
1.3678,1.093,0.93486,0.3498,0.28722,0.28711,1
1.0487,0.93747,0.68384,0.36833,0.42658,0.30329,-1
1.093,0.93486,1.9886,0.28722,0.28711,0.35928,1
0.93747,0.68384,0.97446,0.42658,0.30329,0.24821,-1
0.93486,1.9886,0.85064,0.28711,0.35928,0.38069,1
0.68384,0.97446,1.282,0.30329,0.24821,0.32537,-1
1.9886,0.85064,1.5592,0.35928,0.38069,0.39635,1
0.97446,1.282,1.0445,0.24821,0.32537,0.30239,-1
0.85064,1.5592,0.87525,0.38069,0.39635,0.40976,1
1.282,1.0445,0.96236,0.32537,0.30239,0.28014,-1
1.5592,0.87525,1.5562,0.39635,0.40976,0.38542,1
1.0445,0.96236,0.84604,0.30239,0.28014,0.2274,-1
0.87525,1.5562,0.82846,0.40976,0.38542,0.38408,1
0.96236,0.84604,0.46171,0.28014,0.2274,0.32922,-1
1.5562,0.82846,0.77324,0.38542,0.38408,0,1
0.84604,0.46171,0.34409,0.2274,0.32922,0.24821,-1
0.46171,0.34409,0.40075,0.32922,0.24821,0.28438,-1
0.77324,1.8443,1.5834,0,0.40669,0.47483,1
0.34409,0.40075,0.6288,0.24821,0.28438,0.34533,-1
1.8443,1.5834,1.471,0.40669,0.47483,0,1
0.40075,0.6288,0.37394,0.28438,0.34533,0.39056,-1
0.6288,0.37394,0.19126,0.34533,0.39056,0.34925,-1
1.471,1.3373,2.8295,0,0.35384,0.25984,1
0.37394,0.19126,0.45994,0.39056,0.34925,0.34128,-1
1.3373,2.8295,1.2887,0.35384,0.25984,0.2718,1
0.19126,0.45994,0.46717,0.34925,0.34128,0.41134,-1
2.8295,1.2887,1.3805,0.25984,0.2718,0.25723,1
0.45994,0.46717,0.36795,0.34128,0.41134,0.27106,-1
1.2887,1.3805,0.66451,0.2718,0.25723,0.21538,1
0.46717,0.36795,0.12342,0.41134,0.27106,0.29217,-1
1.3805,0.66451,0.98982,0.25723,0.21538,0.29099,1
0.36795,0.12342,0.52505,0.27106,0.29217,0.28563,-1
0.66451,0.98982,2.6401,0.21538,0.29099,0.36002,1
0.12342,0.52505,0.52533,0.29217,0.28563,0.34825,-1
0.98982,2.6401,1.7464,0.29099,0.36002,0.37068,1
0.52505,0.52533,0.80317,0.28563,0.34825,0.3482,-1
2.6401,1.7464,1.4456,0.36002,0.37068,0.39447,1
0.52533,0.80317,0.60593,0.34825,0.3482,0.36361,-1
1.7464,1.4456,1.3734,0.37068,0.39447,0.35548,1
0.80317,0.60593,0.26836,0.3482,0.36361,0.3493,-1
1.4456,1.3734,1.1311,0.39447,0.35548,0.35721,1
0.60593,0.26836,0.19114,0.36361,0.3493,0.38981,-1
1.3734,1.1311,0.91285,0.35548,0.35721,0.34133,1
0.26836,0.19114,0.45883,0.3493,0.38981,0.37793,-1
1.1311,0.91285,1.0134,0.35721,0.34133,0.3675,1
0.19114,0.45883,0.4602,0.38981,0.37793,0.33298,-1
0.91285,1.0134,0.89331,0.34133,0.3675,0.3448,1
0.45883,0.4602,0.39977,0.37793,0.33298,0.35918,-1
1.0134,0.89331,0.39538,0.3675,0.3448,0.27169,1
0.4602,0.39977,0.22693,0.33298,0.35918,0.33887,-1
0.89331,0.39538,0.82502,0.3448,0.27169,0.30077,1
0.39977,0.22693,0.19894,0.35918,0.33887,0.33681,-1
0.39538,0.82502,1.2288,0.27169,0.30077,0.28981,1
0.22693,0.19894,0.27052,0.33887,0.33681,0.30582,-1
0.82502,1.2288,1.0996,0.30077,0.28981,0.33023,1
